id,"prefecture","created_at","updated_at"
1,"北海道","2019-03-03 08:19:00","2019-03-03 08:19:00"
2,"青森県","2019-03-03 08:19:00","2019-03-03 08:19:00"
3,"岩手県","2019-03-03 08:19:00","2019-03-03 08:19:00"
4,"宮城県","2019-03-03 08:19:00","2019-03-03 08:19:00"
5,"秋田県","2019-03-03 08:19:00","2019-03-03 08:19:00"
6,"山形県","2019-03-03 08:19:00","2019-03-03 08:19:00"
7,"福島県","2019-03-03 08:19:00","2019-03-03 08:19:00"
8,"茨城県","2019-03-03 08:19:00","2019-03-03 08:19:00"
9,"栃木県","2019-03-03 08:19:00","2019-03-03 08:19:00"
10,"群馬県","2019-03-03 08:19:00","2019-03-03 08:19:00"
11,"埼玉県","2019-03-03 08:19:00","2019-03-03 08:19:00"
12,"千葉県","2019-03-03 08:19:00","2019-03-03 08:19:00"
13,"東京都","2019-03-03 08:19:00","2019-03-03 08:19:00"
14,"神奈川県","2019-03-03 08:19:00","2019-03-03 08:19:00"
15,"新潟県","2019-03-03 08:19:00","2019-03-03 08:19:00"
16,"富山県","2019-03-03 08:19:00","2019-03-03 08:19:00"
17,"石川県","2019-03-03 08:19:00","2019-03-03 08:19:00"
18,"福井県","2019-03-03 08:19:00","2019-03-03 08:19:00"
19,"山梨県","2019-03-03 08:19:00","2019-03-03 08:19:00"
20,"長野県","2019-03-03 08:19:00","2019-03-03 08:19:00"
21,"岐阜県","2019-03-03 08:19:00","2019-03-03 08:19:00"
22,"静岡県","2019-03-03 08:19:00","2019-03-03 08:19:00"
23,"愛知県","2019-03-03 08:19:00","2019-03-03 08:19:00"
24,"三重県","2019-03-03 08:19:00","2019-03-03 08:19:00"
25,"滋賀県","2019-03-03 08:19:00","2019-03-03 08:19:00"
26,"京都府","2019-03-03 08:19:00","2019-03-03 08:19:00"
27,"大阪府","2019-03-03 08:19:00","2019-03-03 08:19:00"
28,"兵庫県","2019-03-03 08:19:00","2019-03-03 08:19:00"
29,"奈良県","2019-03-03 08:19:00","2019-03-03 08:19:00"
30,"和歌山県","2019-03-03 08:19:00","2019-03-03 08:19:00"
31,"鳥取県","2019-03-03 08:19:00","2019-03-03 08:19:00"
32,"島根県","2019-03-03 08:19:00","2019-03-03 08:19:00"
33,"岡山県","2019-03-03 08:19:00","2019-03-03 08:19:00"
34,"広島県","2019-03-03 08:19:00","2019-03-03 08:19:00"
35,"山口県","2019-03-03 08:19:00","2019-03-03 08:19:00"
36,"徳島県","2019-03-03 08:19:00","2019-03-03 08:19:00"
37,"香川県","2019-03-03 08:19:00","2019-03-03 08:19:00"
38,"愛媛県","2019-03-03 08:19:00","2019-03-03 08:19:00"
39,"高知県","2019-03-03 08:19:00","2019-03-03 08:19:00"
40,"福岡県","2019-03-03 08:19:00","2019-03-03 08:19:00"
41,"佐賀県","2019-03-03 08:19:00","2019-03-03 08:19:00"
42,"長崎県","2019-03-03 08:19:00","2019-03-03 08:19:00"
43,"熊本県","2019-03-03 08:19:00","2019-03-03 08:19:00"
44,"大分県","2019-03-03 08:19:00","2019-03-03 08:19:00"
45,"宮崎県","2019-03-03 08:19:00","2019-03-03 08:19:00"
46,"鹿児島県","2019-03-03 08:19:00","2019-03-03 08:19:00"
47,"沖縄県","2019-03-03 08:19:00","2019-03-03 08:19:00"
